epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,14771.9,1.25732,0.67946,1.38237,0.72022,0.63635,0.70023,0.37962,1.57005,0.75818,1.5805,0.0154092,0.00513639,0.0154092,0.00513639,0.0154092,0.00513639,0.0154092,0.00513639
91,14932.4,1.25438,0.67286,1.39051,0.72152,0.63481,0.70002,0.37912,1.57065,0.75751,1.58126,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
92,15091.1,1.2463,0.66905,1.37625,0.72666,0.63204,0.70034,0.37884,1.57095,0.75768,1.58145,0.0148908,0.00496361,0.0148908,0.00496361,0.0148908,0.00496361,0.0148908,0.00496361
93,15250.5,1.24039,0.66222,1.36947,0.72495,0.63352,0.70054,0.37955,1.57195,0.75723,1.58239,0.0146317,0.00487725,0.0146317,0.00487725,0.0146317,0.00487725,0.0146317,0.00487725
94,15409.3,1.24052,0.65922,1.36946,0.72623,0.63369,0.70104,0.37956,1.57279,0.75716,1.58266,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
95,15568,1.22675,0.65949,1.36152,0.71942,0.64085,0.70167,0.3797,1.57316,0.75718,1.58324,0.0141141,0.00470471,0.0141141,0.00470471,0.0141141,0.00470471,0.0141141,0.00470471
96,15726.5,1.22063,0.64966,1.35774,0.71937,0.64139,0.70085,0.37941,1.57379,0.75696,1.58363,0.0138557,0.00461858,0.0138557,0.00461858,0.0138557,0.00461858,0.0138557,0.00461858
97,15885.3,1.2151,0.63848,1.35342,0.71854,0.64162,0.70076,0.37977,1.57463,0.75695,1.5842,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
98,16044.4,1.20798,0.63857,1.34504,0.71948,0.64039,0.70075,0.37989,1.57487,0.75677,1.58456,0.0133402,0.00444675,0.0133402,0.00444675,0.0133402,0.00444675,0.0133402,0.00444675
99,16203.9,1.20449,0.62886,1.34858,0.71647,0.64277,0.70074,0.38004,1.57517,0.75644,1.58516,0.0130833,0.00436109,0.0130833,0.00436109,0.0130833,0.00436109,0.0130833,0.00436109
100,16362.7,1.20174,0.6325,1.34391,0.7189,0.64099,0.70101,0.37988,1.57606,0.7565,1.58605,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
101,16521.9,1.19613,0.62182,1.33557,0.71946,0.64041,0.70103,0.37984,1.57611,0.7565,1.58639,0.0125713,0.00419044,0.0125713,0.00419044,0.0125713,0.00419044,0.0125713,0.00419044
102,16680.7,1.19558,0.62022,1.33242,0.71285,0.64588,0.70112,0.37997,1.57687,0.75603,1.58698,0.0123165,0.0041055,0.0123165,0.0041055,0.0123165,0.0041055,0.0123165,0.0041055
103,16839.3,1.18385,0.61438,1.32841,0.7128,0.64584,0.7008,0.3799,1.57768,0.75604,1.58772,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
104,16998.3,1.16911,0.6021,1.31671,0.71549,0.64117,0.70094,0.38028,1.5781,0.75602,1.58791,0.0118095,0.00393649,0.0118095,0.00393649,0.0118095,0.00393649,0.0118095,0.00393649
105,17157.9,1.1629,0.59839,1.31102,0.71853,0.63902,0.701,0.38006,1.57876,0.75644,1.58794,0.0115575,0.00385249,0.0115575,0.00385249,0.0115575,0.00385249,0.0115575,0.00385249
106,17317.3,1.16276,0.59793,1.30594,0.72092,0.63755,0.70067,0.38006,1.57958,0.75634,1.5882,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885
107,17476,1.15167,0.5959,1.30341,0.71703,0.64011,0.70028,0.38029,1.57985,0.75634,1.58854,0.0110568,0.0036856,0.0110568,0.0036856,0.0110568,0.0036856,0.0110568,0.0036856
108,17635.1,1.1469,0.58468,1.2938,0.71766,0.63889,0.70104,0.38042,1.58066,0.7569,1.58914,0.0108083,0.00360276,0.0108083,0.00360276,0.0108083,0.00360276,0.0108083,0.00360276
109,17794.9,1.14209,0.58375,1.2959,0.72247,0.63667,0.70071,0.38,1.5817,0.75715,1.59,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
